epoch,total,pde,ic,seis,bc
156,2.4755823612e-01,9.2003569007e-02,8.4112619516e-04,2.0347991586e-01,1.5530702658e-03
157,2.4757601321e-01,9.3876712024e-02,8.3979486953e-04,2.0346784592e-01,1.2279605726e-03
158,2.4752591550e-01,9.1686904430e-02,8.3868938964e-04,2.0345599949e-01,1.2979978928e-03
159,2.4733589590e-01,8.4071837366e-02,8.3772419021e-04,2.0344401896e-01,1.4150773641e-03
160,2.4736593664e-01,8.5612766445e-02,8.3675526548e-04,2.0343217254e-01,1.3082242804e-03
161,2.4757146835e-01,9.3713544309e-02,8.3587341942e-04,2.0342054963e-01,1.1880295351e-03
162,2.4735967815e-01,8.5967227817e-02,8.3510857075e-04,2.0340916514e-01,1.1444599368e-03
163,2.4721325934e-01,8.0648139119e-02,8.3418085705e-04,2.0339760184e-01,1.1255128775e-03
164,2.4758879840e-01,9.3837998807e-02,8.3288073074e-04,2.0338559151e-01,1.2958507286e-03
165,2.4735774100e-01,8.5482820868e-02,8.3140877541e-04,2.0337314904e-01,1.2856753310e-03
166,2.4747051299e-01,9.0174555779e-02,8.2969444338e-04,2.0336061716e-01,1.1351748835e-03
167,2.4732953310e-01,8.4946826100e-02,8.2786520943e-04,2.0334836841e-01,1.1911888141e-03
168,2.4728673697e-01,8.4201984107e-02,8.2598952577e-04,2.0333638787e-01,9.8922103643e-04
169,2.4721990526e-01,8.1112124026e-02,8.2435453078e-04,2.0332440734e-01,1.2053606333e-03
170,2.4734094739e-01,8.5215680301e-02,8.2269799896e-04,2.0331247151e-01,1.2724681292e-03
171,2.4732597172e-01,8.5226729512e-02,8.2122895401e-04,2.0330074430e-01,1.1304072104e-03
172,2.4739137292e-01,8.7084785104e-02,8.1984139979e-04,2.0328897238e-01,1.2581450865e-03
173,2.4731051922e-01,8.4960445762e-02,8.1855058670e-04,2.0327728987e-01,1.0698471451e-03
174,2.4709700048e-01,7.7559612691e-02,8.1735104322e-04,2.0326519012e-01,1.0916648898e-03
175,2.4713571370e-01,7.9136654735e-02,8.1589329056e-04,2.0325276256e-01,1.0505820392e-03
176,2.4738490582e-01,8.7333440781e-02,8.1423157826e-04,2.0324014127e-01,1.1662814068e-03
177,2.4715569615e-01,7.9766385257e-02,8.1270479131e-04,2.0322716236e-01,1.1291531846e-03
178,2.4699617922e-01,7.4595473707e-02,8.1126979785e-04,2.0321401954e-01,1.1039660312e-03
179,2.4738414586e-01,8.7818861008e-02,8.0992619041e-04,2.0320093632e-01,1.0815158021e-03
180,2.4714900553e-01,7.9567193985e-02,8.0889678793e-04,2.0318779349e-01,1.2165436056e-03
181,2.4728496373e-01,8.4341339767e-02,8.0816948321e-04,2.0317441225e-01,1.1691824766e-03
182,2.4711713195e-01,7.9192049801e-02,8.0746883759e-04,2.0316107571e-01,1.0801195167e-03
183,2.4710454047e-01,7.8489743173e-02,8.0664979760e-04,2.0314794779e-01,1.1911336333e-03
184,2.4699090421e-01,7.5494021177e-02,8.0573186278e-04,2.0313492417e-01,1.0150803719e-03
185,2.4712069333e-01,7.9603262246e-02,8.0458493903e-04,2.0312185585e-01,1.0801478056e-03
186,2.4712719023e-01,7.9753905535e-02,8.0324674491e-04,2.0310899615e-01,1.1260571191e-03
187,2.4715849757e-01,8.1660307944e-02,8.0187153071e-04,2.0309600234e-01,8.9517631568e-04
188,2.4709221721e-01,7.9624891281e-02,8.0058642197e-04,2.0308297873e-01,8.9946191292e-04
189,2.4687324464e-01,7.2422683239e-02,7.9932727385e-04,2.0306971669e-01,1.0052798316e-03
190,2.4690479040e-01,7.4009478092e-02,7.9798261868e-04,2.0305648446e-01,8.7711744709e-04
191,2.4716642499e-01,8.2251876593e-02,7.9645524966e-04,2.0304340124e-01,9.1198587324e-04
192,2.4693401158e-01,7.4784256518e-02,7.9522025771e-04,2.0303013921e-01,1.0002477793e-03
193,2.4675264955e-01,6.9679014385e-02,7.9399190145e-04,2.0301668346e-01,8.8552094530e-04
