# source time function
# time function type  : 1
# amplification factor:  1.00000E+10
# DT                  :  5.00000E-05
# t0                  :  1.20000E-01
# time shift          :  0.00000E+00
# format
#time  #used_STF  #initial_source_function_value
 -0.105700001      -6.09628188E-08  -6.0962818793086626E-018
 -0.105650000      -6.34991082E-08  -6.3499108193809662E-018
 -0.105599999      -6.61395774E-08  -6.6139577370449840E-018
 -0.105549999      -6.88884469E-08  -6.8888446946857582E-018
 -0.105499998      -7.17501294E-08  -7.1750129393421960E-018
 -0.105449997      -7.47291651E-08  -7.4729165078224466E-018
 -0.105400003      -7.78303146E-08  -7.7830314637594713E-018
 -0.105350003      -8.10585306E-08  -8.1058530554400928E-018
 -0.105300002      -8.44189358E-08  -8.4418935841767963E-018
 -0.105250001      -8.79168738E-08  -8.7916873781068722E-018
 -0.105200000      -9.15579079E-08  -9.1557907921924194E-018
 -0.105149999      -9.53477937E-08  -9.5347793660494056E-018
 -0.105099998      -9.92925635E-08  -9.9292563504604920E-018
 -0.105049998      -1.03398435E-07  -1.0339843470319465E-017
 -0.104999997      -1.07671923E-07  -1.0767192293315020E-017
 -0.104950003      -1.12119764E-07  -1.1211976413960656E-017
 -0.104900002      -1.16748986E-07  -1.1674898559022041E-017
 -0.104850002      -1.21566885E-07  -1.2156688455888798E-017
 -0.104800001      -1.26581043E-07  -1.2658104253659985E-017
 -0.104750000      -1.31799339E-07  -1.3179933944229561E-017
 -0.104699999      -1.37230003E-07  -1.3723000336085533E-017
 -0.104649998      -1.42881532E-07  -1.4288153238339874E-017
 -0.104599997      -1.48762823E-07  -1.4876282250497753E-017
 -0.104549997      -1.54883054E-07  -1.5488305393773772E-017
 -0.104500003      -1.61251819E-07  -1.6125181900861207E-017
 -0.104450002      -1.67879065E-07  -1.6787906531590123E-017
 -0.104400001      -1.74775153E-07  -1.7477515257269260E-017
 -0.104350001      -1.81950853E-07  -1.8195085260686028E-017
 -0.104300000      -1.89417335E-07  -1.8941733515021042E-017
 -0.104249999      -1.97186196E-07  -1.9718619626019064E-017
 -0.104199998      -2.05269572E-07  -2.0526957200672769E-017
 -0.104149997      -2.13679982E-07  -2.1367998215282569E-017
 -0.104099996      -2.22430486E-07  -2.2243048647396789E-017
 -0.104050003      -2.31534656E-07  -2.3153465633640735E-017
 -0.104000002      -2.41006603E-07  -2.4100660311887623E-017
 -0.103950001      -2.50860950E-07  -2.5086094979087647E-017
 -0.103900000      -2.61112973E-07  -2.6111297302122692E-017
 -0.103850000      -2.71778447E-07  -2.7177844685866147E-017
 -0.103799999      -2.82873827E-07  -2.8287382747294030E-017
 -0.103749998      -2.94416282E-07  -2.9441628157655939E-017
 -0.103699997      -3.06423487E-07  -3.0642348747278448E-017
 -0.103650004      -3.18913919E-07  -3.1891391927274528E-017
 -0.103600003      -3.31906818E-07  -3.3190681847372615E-017
 -0.103550002      -3.45422052E-07  -3.4542205185061900E-017
 -0.103500001      -3.59480339E-07  -3.5948033882959862E-017
 -0.103450000      -3.74103251E-07  -3.7410325148812259E-017
 -0.103399999      -3.89313129E-07  -3.8931312928980332E-017
 -0.103349999      -4.05133136E-07  -4.0513313592782652E-017
 -0.103299998      -4.21587515E-07  -4.2158751512033635E-017
 -0.103249997      -4.38701335E-07  -4.3870133481505033E-017
 -0.103200004      -4.56500601E-07  -4.5650060087609747E-017
 -0.103150003      -4.75012428E-07  -4.7501242761427419E-017
 -0.103100002      -4.94264953E-07  -4.9426495252191669E-017
 -0.103050001      -5.14287365E-07  -5.1428736469461003E-017
 -0.103000000      -5.35110075E-07  -5.3511007536144463E-017
 -0.102949999      -5.56764633E-07  -5.5676463261988835E-017
 -0.102899998      -5.79283721E-07  -5.7928372143578600E-017
 -0.102849998      -6.02701448E-07  -6.0270144786045419E-017
 -0.102799997      -6.27053169E-07  -6.2705316850042430E-017
 -0.102750003      -6.52375604E-07  -6.5237560420428051E-017
 -0.102700002      -6.78706897E-07  -6.7870689690607834E-017
 -0.102650002      -7.06086723E-07  -7.0608672331218262E-017
 -0.102600001      -7.34556181E-07  -7.3455618121442967E-017
 -0.102550000      -7.64158131E-07  -7.6415813055064061E-017
 -0.102499999      -7.94936852E-07  -7.9493685234410807E-017
 -0.102449998      -8.26938617E-07  -8.2693861713778464E-017
 -0.102399997      -8.60211173E-07  -8.6021117340351340E-017
 -0.102349997      -8.94804487E-07  -8.9480448650647302E-017
 -0.102300003      -9.30770113E-07  -9.3077011342757035E-017
 -0.102250002      -9.68161658E-07  -9.6816165751079091E-017
 -0.102200001      -1.00703505E-06  -1.0070350526802941E-016
 -0.102150001      -1.04744800E-06  -1.0474479950062232E-016
 -0.102100000      -1.08946074E-06  -1.0894607385125709E-016
 -0.102049999      -1.13313570E-06  -1.1331356972732464E-016
 -0.101999998      -1.17853756E-06  -1.1785375590989134E-016
 -0.101949997      -1.22573385E-06  -1.2257338539711783E-016
 -0.101899996      -1.27479439E-06  -1.2747943856084021E-016
 -0.101850003      -1.32579169E-06  -1.3257916862130514E-016
 -0.101800002      -1.37880124E-06  -1.3788012438453734E-016
